id	name	c_10	h_index	Q	paper	citations	IndexBestPaper	TitleBestPaper	JournalBestPaper	YearBestPaper
56258	Stanley G. Thompson	7.77	16	2.11	63	8 8 0 0 5 0 10 10 6 14 0 0 0 0 5 12 1 18 12 19 12 17 9 14 0 5 5 7 4 1 9 12 5 2 1 10 8 1 1 7 3 11 9 23 4 37 1 7 1 11 6 3 20 9 3 17 4 4 2 2 2 24	46	Further Studies of the Prompt Neutrons from the Spontaneous Fission of Cf^{252}	PR	1963
56362	D. K. Robinson	7.77	10	2.04	27	4 7 1 9 45 24 15 8 11 15 7 0 3 5 6 10 10 1 1 4 2 0 6 11 1 0	4	π-π Resonance in π^{-}-p Interactions at 1.25 Bev	PRL	1961
56381	C. A. Kapetanakos	2.72	5	1.23	18	6 2 3 2 5 1 5 0 1 1 7 10 3 0 2 0 1	12	Beam Extraction Scheme from the Modified Betatron Accelerator	PRL	1988
56420	John D. Reppy	16.2	21	4.12	47	6 12 11 5 28 3 18 33 10 14 6 12 10 11 12 5 7 13 16 16 89 8 3 9 54 0 20 23 31 13 4 20 7 4 10 63 2 25 0 28 20 11 1 17 15 15	21	Study of the Superfluid Transition in Two-Dimensional ^{4}He Films	PRL	1978
56712	Lorenz S. Cederbaum	7.69	16	2.08	63	0 1 0 12 1 15 6 2 0 0 7 19 20 40 1 22 3 2 10 15 1 17 8 6 3 9 1 13 21 4 1 1 2 5 4 3 3 13 7 0 1 0 21 12 12 0 4 7 7 2 10 2 9 6 17 12 24 13 14 6 3 2	14	Uncovering the Transition from Regularity to Irregularity in a Quantum System	PRL	1984
56746	Jihn E. Kim	8.29	10	1.7	48	12 3 3 6 10 4 3 2 1 7 4 2 87 6 16 4 4 18 2 96 5 16 0 4 1 2 2 0 0 0 1 6 2 1 1 0 3 8 3 0 8 1 0 8 4 2 26	20	A theoretical and experimental review of the weak neutral current: a determination of its structure and limits on deviations from the minimal SU(2)_{L}×U(1) electroweak theory	RMP	1981
56891	Werner P. Wolf	9.05	13	2.31	34	15 0 23 1 10 8 10 17 6 18 15 8 7 9 3 34 3 21 10 3 1 7 7 0 14 5 1 3 33 1 15 0 0	16	Magnetic and Thermal Properties of Dysprosium Aluminum Garnet. I. Experimental Results for the Two-Sublattice Phases	PRB	1971
57014	K. W. Schwarz	12.3	19	2.95	81	3 6 18 14 3 1 15 87 9 12 11 5 4 5 5 1 0 2 8 17 5 0 11 5 16 4 6 6 28 4 13 9 19 9 13 8 16 33 5 0 4 2 5 105 9 2 2 1 47 37 35 12 5 13 31 15 2 10 0 5 1 9 11 8 2 3 19 4 6 3 12 33 11 4 37 3 21 6 4 15	44	Ferromagnetic phases of bcc and fcc Fe, Co, and Ni	PRB	1986
57227	H. Gordon Berry	7.89	14	2.26	67	2 1 10 12 3 5 11 9 8 30 6 5 10 2 3 9 6 6 11 2 8 9 1 8 5 17 3 1 9 5 1 2 5 3 5 8 8 37 6 12 5 15 2 5 11 0 0 15 1 2 1 13 38 14 2 2 3 3 6 2 25 4 23 0 11 6	54	High-energy behavior of the double photoionization of helium from 2 to 12 keV	PRA	1993
57248	R. J. Sladek	3.56	10	1.31	57	3 5 6 18 7 4 4 5 5 1 3 3 4 2 3 0 3 8 12 8 8 1 4 2 1 4 0 1 6 6 3 2 0 0 6 4 4 3 1 1 2 0 2 18 2 4 1 3 0 0 0 4 1 1 0 4	4	Galvanomagnetic Effects in n-Ge in the Impurity Conduction Range	PR	1961
57316	Grzegorz Lapicki	9.06	10	2.06	33	44 36 21 6 7 33 20 5 4 47 0 6 13 2 6 8 2 4 2 4 0 3 3 6 1 0 1 4 3 5 2 1	10	Energy-loss effect in inner-shell Coulomb ionization by heavy charged particles	PRA	1981
57408	Werner Brandt	12.5	22	2.59	68	3 2 0 5 1 4 15 5 9 6 34 11 3 3 12 1 2 30 3 1 9 5 6 52 44 7 4 20 14 2 108 27 19 1 6 26 44 3 19 7 1 2 0 1 16 2 0 2 51 16 4 4 33 20 5 9 10 47 0 3 11 21 3 0 7 7 0	31	Universal Cross Sections for K-Shell Ionization by Heavy Charged Particles. I. Low Particle Velocities	PRA	1973
57663	W. Gilbert Clark	10.6	15	2.71	38	9 17 16 3 7 8 0 1 6 2 14 15 2 3 52 8 17 5 3 21 11 29 16 12 44 4 2 0 19 16 2 13 5 1 11 4 0	15	Frequency-Dependent Conductivity in NbSe_{3}	PRL	1980
57868	Sergio M. Rezende	5.3	8	1.47	36	0 1 2 0 2 4 0 0 10 2 5 1 3 1 10 4 3 1 5 1 18 1 16 21 0 4 5 43 0 3 1 6 1 11 2	28	Controlling chaos in spin-wave instabilities	PRL	1991
57888	John R. Ray	5.51	10	1.75	39	7 1 0 6 11 5 4 1 4 12 5 6 14 2 17 14 4 3 0 0 35 8 3 1 4 5 9 1 1 0 3 7 2 4 4 1 2 4	21	Amorphous-silicon formation by rapid quenching: A molecular-dynamics study	PRB	1987
57949	Miles V. Klein	13.7	25	3.07	99	21 13 22 21 29 23 22 9 20 12 6 18 11 10 12 5 4 5 8 0 8 17 8 20 7 1 2 6 12 3 3 20 51 24 14 15 7 10 3 8 2 1 11 8 26 101 1 2 1 2 0 42 1 0 14 0 121 5 3 62 10 22 12 8 21 17 3 18 5 24 5 26 4 3 12 60 1 23 25 2 6 7 3 2 0 0 18 1 7 21 0 2 34 18 3 26 14 2	57	Raman scattering from superconducting gap excitations in single-crystal YBa_{2}Cu_{3}O_{7-δ}	PRB	1988
57951	H. R. Crane	7.11	12	2.2	59	7 11 0 9 6 10 0 0 13 0 13 13 2 0 5 9 8 13 7 8 11 18 2 6 2 11 12 6 7 12 8 2 5 7 0 5 2 2 2 1 10 13 3 1 7 6 8 4 3 4 8 8 16 7 1 8 15 38	58	Precision Measurement of the g Factor of the Free Electron	PR	1963
57988	Norman H. Christ	20.5	16	4.95	22	17 14 10 24 22 0 68 2 7 50 13 20 11 24 14 15 23 6 31 46 19	7	Light-Cone Behavior of Perturbation Theory	PRD	1972
58015	M. C. Richardson	5.38	12	1.9	21	2 0 5 9 4 12 14 8 14 7 3 3 10 32 19 16 13 5 35 2	19	Identification of a Pseudoscalar State at 1440 MeV in J/ψ Radiative Decays	PRL	1982
58224	Jacob D. Bekenstein	7.68	16	2.5	29	7 8 2 11 8 7 11 8 7 2 2 3 5 18 11 21 3 5 5 7 6 7 0 1 2 5 21 21	27	Novel ‘‘no-scalar-hair’’ theorem for black holes	PRD	1995
58320	Jean Suzanne	13.8	8	2.91	17	9 5 5 1 1 6 45 39 16 43 26 14 1 3 3 1	7	Complete and Incomplete Wetting in Multilayer Adsorption: High-Energy Electron-Diffraction Studies of Xe, Ar, N_{2}, and Ne Films on Graphite	PRL	1983
